graph6 string,levelable,minimized solution
H?ovEjm,F,NA
H?ovEj],F,NA
H?ovEi},F,NA
H?ovEjx,F,NA
H?ovEjt,F,NA
H?ovEjl,F,NA
H?ovEj\,F,NA
H?ovEi|,F,NA
H?ovEjr,F,NA
H?ovEjj,F,NA
H?ovEjZ,F,NA
H?ovEiz,F,NA
H?ovEjf,F,NA
H?ovEjV,F,NA
H?ovEiv,F,NA
H?ovEjN,F,NA
H?ovEin,F,NA
H?ovEi^,F,NA
H?ovEg~,F,NA
H?ovEj},F,NA
H?ovEj|,F,NA
H?ovEjz,F,NA
H?ovEjv,F,NA
H?ovEjn,F,NA
H?ovEj^,F,NA
H?ovEi~,F,NA
H?ovEj~,F,NA
H?ovDja,F,NA
H?ovDii,F,NA
H?ovDhY,F,NA
H?ovDjE,F,NA
H?ovDhU,F,NA
H?ovDiM,F,NA
H?ovDhM,F,NA
H?ovDjw,F,NA
H?ovDjs,F,NA
H?ovDjk,F,NA
H?ovDj[,F,NA
H?ovDi{,F,NA
H?ovDh{,F,NA
H?ovDjq,F,NA
H?ovDji,F,NA
H?ovDjY,F,NA
H?ovDiy,F,NA
H?ovDhy,F,NA
H?ovDje,F,NA
H?ovDjU,F,NA
H?ovDiu,F,NA
H?ovDhu,F,NA
H?ovDjM,F,NA
H?ovDim,F,NA
H?ovDhm,F,NA
H?ovDi],F,NA
H?ovDh],F,NA
H?ovDg},F,NA
H?ovDjh,F,NA
H?ovDjd,F,NA
H?ovDit,F,NA
H?ovDht,F,NA
H?ovDjL,F,NA
H?ovDil,F,NA
H?ovDhl,F,NA
H?ovDj{,F,NA
H?ovDjy,F,NA
H?ovDju,F,NA
H?ovDjm,F,NA
H?ovDj],F,NA
H?ovDi},F,NA
H?ovDh},F,NA
H?ovDjx,F,NA
H?ovDjt,F,NA
H?ovDjl,F,NA
H?ovDj\,F,NA
H?ovDi|,F,NA
H?ovDh|,F,NA
H?ovDjr,F,NA
H?ovDjj,F,NA
H?ovDjZ,F,NA
H?ovDiz,F,NA
H?ovDhz,F,NA
H?ovDjf,F,NA
H?ovDjV,F,NA
H?ovDiv,F,NA
H?ovDhv,F,NA
H?ovDjN,F,NA
H?ovDin,F,NA
H?ovDhn,F,NA
H?ovDi^,F,NA
H?ovDh^,F,NA
H?ovDg~,F,NA
H?ovDj},F,NA
H?ovDj|,F,NA
H?ovDjz,F,NA
H?ovDjv,F,NA
H?ovDjn,F,NA
H?ovDj^,F,NA
H?ovDi~,F,NA
H?ovDh~,F,NA
H?ovDj~,F,NA
H?ovEZo,F,NA
H?ovEZc,F,NA
H?ovEZS,F,NA
H?ovEZa,F,NA
H?ovEZQ,F,NA
H?ovEZI,F,NA
H?ovEWy,F,NA
H?ovEZE,F,NA
H?ovEWu,F,NA
H?ovEWm,F,NA
H?ovEW],F,NA
H?ovEZw,F,NA
H?ovEZs,F,NA
H?ovEZk,F,NA
H?ovEZ[,F,NA
H?ovEY{,F,NA
H?ovEZq,F,NA
H?ovEZi,F,NA
H?ovEZY,F,NA
H?ovEYy,F,NA
H?ovEZe,F,NA
H?ovEZU,F,NA
H?ovEYu,F,NA
H?ovEZM,F,NA
H?ovEYm,F,NA
H?ovEY],F,NA
H?ovEW},F,NA
H?ovEZh,F,NA
H?ovEZd,F,NA
H?ovEZL,F,NA
H?ovEYl,F,NA
H?ovEZ{,F,NA
H?ovEZy,F,NA
H?ovEZu,F,NA
H?ovEZm,F,NA
H?ovEZ],F,NA
H?ovEY},F,NA
H?ovEZx,F,NA
H?ovEZt,F,NA
H?ovEZl,F,NA
H?ovEZ\,F,NA
H?ovEY|,F,NA
H?ovEZr,F,NA
H?ovEZj,F,NA
H?ovEZZ,F,NA
H?ovEYz,F,NA
H?ovEZf,F,NA
H?ovEZV,F,NA
H?ovEYv,F,NA
H?ovEZN,F,NA
H?ovEYn,F,NA
H?ovEY^,F,NA
H?ovEW~,F,NA
H?ovEZ},F,NA
H?ovEZ|,F,NA
H?ovEZz,F,NA
H?ovEZv,F,NA
H?ovEZn,F,NA
H?ovEZ^,F,NA
H?ovEY~,F,NA
H?ovEZ~,F,NA
H?ovDYk,F,NA
H?ovDXk,F,NA
H?ovDZa,F,NA
H?ovDYq,F,NA
H?ovDYi,F,NA
H?ovDXY,F,NA
H?ovDWy,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0]"
H?ovDYe,F,NA
H?ovDXU,F,NA
H?ovDXM,F,NA
H?ovDW],F,NA
H?ovDZw,F,NA
H?ovDZs,F,NA
H?ovDZk,F,NA
H?ovDZ[,F,NA
H?ovDY{,F,NA
H?ovDX{,F,NA
H?ovDZq,F,NA
H?ovDZi,F,NA
H?ovDZY,F,NA
H?ovDYy,F,NA
H?ovDXy,F,NA
H?ovDZe,F,NA
H?ovDZU,F,NA
H?ovDYu,F,NA
H?ovDXu,F,NA
H?ovDZM,F,NA
H?ovDYm,F,NA
H?ovDXm,F,NA
H?ovDY],F,NA
H?ovDX],F,NA
H?ovDW},F,NA
H?ovDZd,F,NA
H?ovDYl,F,NA
H?ovDXl,F,NA
H?ovDZ{,F,NA
H?ovDZy,F,NA
H?ovDZu,F,NA
H?ovDZm,F,NA
H?ovDZ],F,NA
H?ovDY},F,NA
H?ovDX},F,NA
H?ovDZx,F,NA
H?ovDZt,F,NA
H?ovDZl,F,NA
H?ovDZ\,F,NA
H?ovDY|,F,NA
H?ovDX|,F,NA
H?ovDZr,F,NA
H?ovDZj,F,NA
H?ovDZZ,F,NA
H?ovDYz,F,NA
H?ovDXz,F,NA
H?ovDZf,F,NA
H?ovDZV,F,NA
H?ovDYv,F,NA
H?ovDXv,F,NA
H?ovDZN,F,NA
H?ovDYn,F,NA
H?ovDXn,F,NA
H?ovDY^,F,NA
H?ovDX^,F,NA
H?ovDW~,F,NA
H?ovDZ},F,NA
H?ovDZ|,F,NA
H?ovDZz,F,NA
H?ovDZv,F,NA
H?ovDZn,F,NA
H?ovDZ^,F,NA
H?ovDY~,F,NA
H?ovDX~,F,NA
H?ovDZ~,F,NA
H?ovCzc,F,NA
H?ovCxk,F,NA
H?ovCxq,F,NA
H?ovCxi,F,NA
H?ovCxY,F,NA
H?ovCwy,F,NA
H?ovCxe,F,NA
H?ovCxU,F,NA
H?ovCwu,F,NA
H?ovCxM,F,NA
H?ovCwm,F,NA
H?ovCw],F,NA
H?ovCzw,F,NA
H?ovCzs,F,NA
H?ovCzk,F,NA
H?ovCz[,F,NA
H?ovCy{,F,NA
H?ovCx{,F,NA
H?ovCzq,F,NA
H?ovCzi,F,NA
H?ovCzY,F,NA
H?ovCyy,F,NA
H?ovCxy,F,NA
H?ovCze,F,NA
H?ovCzU,F,NA
H?ovCyu,F,NA
H?ovCxu,F,NA
H?ovCzM,F,NA
H?ovCym,F,NA
H?ovCxm,F,NA
H?ovCy],F,NA
H?ovCx],F,NA
H?ovCw},F,NA
H?ovCzp,F,NA
H?ovCzh,F,NA
H?ovCyx,F,NA
H?ovCxx,F,NA
H?ovCzd,F,NA
H?ovCzT,F,NA
H?ovCyt,F,NA
H?ovCxt,F,NA
H?ovCzL,F,NA
H?ovCyl,F,NA
H?ovCxl,F,NA
H?ovCy\,F,NA
H?ovCx\,F,NA
H?ovCw|,F,NA
H?ovCzb,F,NA
H?ovCzF,F,NA
H?ovCyf,F,NA
H?ovCxf,F,NA
H?ovCwn,F,NA
H?ovCz{,F,NA
H?ovCzy,F,NA
H?ovCzu,F,NA
H?ovCzm,F,NA
H?ovCz],F,NA
H?ovCy},F,NA
H?ovCx},F,NA
H?ovCzx,F,NA
H?ovCzt,F,NA
H?ovCzl,F,NA
H?ovCz\,F,NA
H?ovCy|,F,NA
H?ovCx|,F,NA
H?ovCzr,F,NA
H?ovCzj,F,NA
H?ovCzZ,F,NA
H?ovCyz,F,NA
H?ovCxz,F,NA
H?ovCzf,F,NA
H?ovCzV,F,NA
H?ovCyv,F,NA
H?ovCxv,F,NA
H?ovCzN,F,NA
H?ovCyn,F,NA
H?ovCxn,F,NA
H?ovCy^,F,NA
H?ovCx^,F,NA
H?ovCw~,F,NA
H?ovCz},F,NA
H?ovCz|,F,NA
H?ovCzz,F,NA
H?ovCzv,F,NA
H?ovCzn,F,NA
H?ovCz^,F,NA
H?ovCy~,F,NA
H?ovCx~,F,NA
H?ovCz~,F,NA
H?ov@zK,F,NA
H?ov@yk,F,NA
H?ov@zQ,F,NA
H?ov@yY,F,NA
H?ov@wy,F,NA
H?ov@zE,F,NA
H?ov@yU,F,NA
H?ov@yM,F,NA
H?ov@w],F,NA
H?ov@zw,F,NA
H?ov@zs,F,NA
H?ov@zk,F,NA
H?ov@z[,F,NA
H?ov@y{,F,NA
H?ov@zq,F,NA
H?ov@zi,F,NA
H?ov@zY,F,NA
H?ov@yy,F,NA
H?ov@ze,F,NA
H?ov@zU,F,NA
H?ov@yu,F,NA
H?ov@zM,F,NA
H?ov@ym,F,NA
H?ov@y],F,NA
H?ov@w},F,NA
H?ov@zp,F,NA
H?ov@zh,F,NA
H?ov@zd,F,NA
H?ov@zT,F,NA
H?ov@yt,F,NA
H?ov@zL,F,NA
H?ov@yl,F,NA
H?ov@w|,F,NA
H?ov@zb,F,NA
H?ov@zF,F,NA
H?ov@yf,F,NA
H?ov@z{,F,NA
H?ov@zy,F,NA
H?ov@zu,F,NA
H?ov@zm,F,NA
H?ov@z],F,NA
H?ov@y},F,NA
H?ov@zx,F,NA
H?ov@zt,F,NA
H?ov@zl,F,NA
H?ov@z\,F,NA
H?ov@y|,F,NA
H?ov@zr,F,NA
H?ov@zj,F,NA
H?ov@zZ,F,NA
H?ov@yz,F,NA
H?ov@zf,F,NA
H?ov@zV,F,NA
H?ov@yv,F,NA
H?ov@zN,F,NA
H?ov@yn,F,NA
H?ov@y^,F,NA
H?ov@w~,F,NA
H?ov@z},F,NA
H?ov@z|,F,NA
H?ov@zz,F,NA
H?ov@zv,F,NA
H?ov@zn,F,NA
H?ov@z^,F,NA
H?ov@y~,F,NA
H?ov@z~,F,NA
H?ovFFw,F,NA
H?ovFFs,F,NA
H?ovFFk,F,NA
H?ovFF[,F,NA
H?ovFE{,F,NA
H?ovFFq,F,NA
H?ovFFi,F,NA
H?ovFFe,F,NA
H?ovFFU,F,NA
H?ovFEu,F,NA
H?ovFFM,F,NA
H?ovFEm,F,NA
H?ovFFb,F,NA
H?ovFFR,F,NA
H?ovFEr,F,NA
H?ovFFJ,F,NA
H?ovFEj,F,NA
H?ovFEZ,F,NA
H?ovFCz,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ovFFF,F,NA
H?ovFEf,F,NA
H?ovFEV,F,NA
H?ovFCv,F,NA
H?ovFEN,F,NA
H?ovFCn,F,NA
H?ovFC^,F,NA
H?ovFF{,F,NA
H?ovFFy,F,NA
H?ovFFu,F,NA
H?ovFFm,F,NA
H?ovFF],F,NA
H?ovFE},F,NA
H?ovFFr,F,NA
H?ovFFj,F,NA
H?ovFFZ,F,NA
H?ovFEz,F,NA
H?ovFFf,F,NA
H?ovFFV,F,NA
H?ovFEv,F,NA
H?ovFFN,F,NA
H?ovFEn,F,NA
H?ovFE^,F,NA
H?ovFC~,F,NA
H?ovFF},F,NA
H?ovFFz,F,NA
H?ovFFv,F,NA
H?ovFFn,F,NA
H?ovFF^,F,NA
H?ovFE~,F,NA
H?ovFF~,F,NA
H?ovEfw,F,NA
H?ovEfs,F,NA
H?ovEfk,F,NA
H?ovEe{,F,NA
H?ovEfq,F,NA
H?ovEfi,F,NA
H?ovEfY,F,NA
H?ovEey,F,NA
H?ovEfe,F,NA
H?ovEfU,F,NA
H?ovEeu,F,NA
H?ovEfM,F,NA
H?ovEem,F,NA
H?ovEe],F,NA
H?ovEc},F,NA
H?ovEer,F,NA
H?ovEfJ,F,NA
H?ovEej,F,NA
H?ovEcz,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ovEfF,F,NA
H?ovEef,F,NA
H?ovEcv,F,NA
H?ovEeN,F,NA
H?ovEcn,F,NA
H?ovEf{,F,NA
H?ovEfy,F,NA
H?ovEfu,F,NA
H?ovEfm,F,NA
H?ovEf],F,NA
H?ovEe},F,NA
H?ovEfr,F,NA
H?ovEfj,F,NA
H?ovEez,F,NA
H?ovEff,F,NA
H?ovEev,F,NA
H?ovEfN,F,NA
H?ovEen,F,NA
H?ovEc~,F,NA
H?ovEf},F,NA
H?ovEfz,F,NA
H?ovEfv,F,NA
H?ovEfn,F,NA
H?ovEe~,F,NA
H?ovEf~,F,NA
H?ovDfw,F,NA
H?ovDfk,F,NA
H?ovDf[,F,NA
H?ovDfq,F,NA
H?ovDfi,F,NA
H?ovDfY,F,NA
H?ovDey,F,NA
H?ovDdy,F,NA
H?ovDfe,F,NA
H?ovDfU,F,NA
H?ovDeu,F,NA
H?ovDdu,F,NA
H?ovDfM,F,NA
H?ovDem,F,NA
H?ovDdm,F,NA
H?ovDe],F,NA
H?ovDd],F,NA
H?ovDc},F,NA
H?ovDfJ,F,NA
H?ovDej,F,NA
H?ovDdj,F,NA
H?ovDeZ,F,NA
H?ovDdZ,F,NA
H?ovDcz,F,NA
H?ovDeN,F,NA
H?ovDdN,F,NA
H?ovDf{,F,NA
H?ovDfy,F,NA
H?ovDfu,F,NA
H?ovDfm,F,NA
H?ovDf],F,NA
H?ovDe},F,NA
H?ovDd},F,NA
H?ovDfr,F,NA
H?ovDfj,F,NA
H?ovDfZ,F,NA
H?ovDez,F,NA
H?ovDdz,F,NA
H?ovDfN,F,NA
H?ovDen,F,NA
H?ovDdn,F,NA
H?ovDd^,F,NA
H?ovDf},F,NA
H?ovDfz,F,NA
H?ovDfn,F,NA
H?ovDf^,F,NA
H?ovDf~,F,NA
H?ovEVw,F,NA
H?ovEVs,F,NA
H?ovEVk,F,NA
H?ovEV[,F,NA
H?ovEU{,F,NA
H?ovEVi,F,NA
H?ovEVY,F,NA
H?ovEVe,F,NA
H?ovEVU,F,NA
H?ovEVM,F,NA
H?ovEVp,F,NA
H?ovEVh,F,NA
H?ovEVX,F,NA
H?ovEUx,F,NA
H?ovEVd,F,NA
H?ovEVT,F,NA
H?ovEUt,F,NA
H?ovEVL,F,NA
H?ovEUl,F,NA
H?ovEU\,F,NA
H?ovES|,F,NA
H?ovEVJ,F,NA
H?ovEVF,F,NA
H?ovEUf,F,NA
H?ovEUN,F,NA
H?ovESn,F,NA
H?ovES^,F,NA
H?ovEV{,F,NA
H?ovEVy,F,NA
H?ovEVu,F,NA
H?ovEVm,F,NA
H?ovEV],F,NA
H?ovEU},F,NA
H?ovEVx,F,NA
H?ovEVt,F,NA
H?ovEVl,F,NA
H?ovEV\,F,NA
H?ovEU|,F,NA
H?ovEVr,F,NA
H?ovEVj,F,NA
H?ovEVZ,F,NA
H?ovEUz,F,NA
H?ovEVf,F,NA
H?ovEVV,F,NA
H?ovEUv,F,NA
H?ovEVN,F,NA
H?ovEUn,F,NA
H?ovEU^,F,NA
H?ovES~,F,NA
H?ovEV},F,NA
H?ovEV|,F,NA
H?ovEVz,F,NA
H?ovEVv,F,NA
H?ovEVn,F,NA
H?ovEV^,F,NA
H?ovEU~,F,NA
H?ovEV~,F,NA
H?ovDVw,F,NA
H?ovDVs,F,NA
H?ovDVk,F,NA
H?ovDV[,F,NA
H?ovDU{,F,NA
H?ovDT{,F,NA
H?ovDVe,F,NA
H?ovDUu,F,NA
H?ovDUm,F,NA
H?ovDVp,F,NA
H?ovDVh,F,NA
H?ovDUx,F,NA
H?ovDTx,F,NA
H?ovDVd,F,NA
H?ovDVT,F,NA
H?ovDUt,F,NA
H?ovDTt,F,NA
H?ovDVL,F,NA
H?ovDUl,F,NA
H?ovDTl,F,NA
H?ovDU\,F,NA
H?ovDT\,F,NA
H?ovDS|,F,NA
H?ovDVJ,F,NA
H?ovDUj,F,NA
H?ovDTj,F,NA
H?ovDVF,F,NA
H?ovDUf,F,NA
H?ovDTf,F,NA
H?ovDUN,F,NA
H?ovDTN,F,NA
H?ovDSn,F,NA
H?ovDS^,F,NA
H?ovDV{,F,NA
H?ovDVy,F,NA
H?ovDVu,F,NA
H?ovDVm,F,NA
H?ovDV],F,NA
H?ovDU},F,NA
H?ovDT},F,NA
H?ovDVx,F,NA
H?ovDVt,F,NA
H?ovDVl,F,NA
H?ovDV\,F,NA
H?ovDU|,F,NA
H?ovDT|,F,NA
H?ovDVr,F,NA
H?ovDVj,F,NA
H?ovDVZ,F,NA
H?ovDUz,F,NA
H?ovDTz,F,NA
H?ovDVf,F,NA
H?ovDVV,F,NA
H?ovDUv,F,NA
H?ovDTv,F,NA
H?ovDVN,F,NA
H?ovDUn,F,NA
H?ovDTn,F,NA
H?ovDU^,F,NA
H?ovDT^,F,NA
H?ovDS~,F,NA
H?ovDV},F,NA
H?ovDV|,F,NA
H?ovDVz,F,NA
H?ovDVv,F,NA
H?ovDVn,F,NA
H?ovDV^,F,NA
H?ovDU~,F,NA
H?ovDT~,F,NA
H?ovDV~,F,NA
H?ovCvw,F,NA
H?ovCvs,F,NA
H?ovCvk,F,NA
H?ovCv[,F,NA
H?ovCu{,F,NA
H?ovCt{,F,NA
H?ovCvq,F,NA
H?ovCvY,F,NA
H?ovCuy,F,NA
H?ovCve,F,NA
H?ovCvU,F,NA
H?ovCuu,F,NA
H?ovCtu,F,NA
H?ovCvM,F,NA
H?ovCum,F,NA
H?ovCu],F,NA
H?ovCt],F,NA
H?ovCs},F,NA
H?ovCvp,F,NA
H?ovCvh,F,NA
H?ovCvX,F,NA
H?ovCux,F,NA
H?ovCtx,F,NA
H?ovCvd,F,NA
H?ovCvT,F,NA
H?ovCut,F,NA
H?ovCtt,F,NA
H?ovCvL,F,NA
H?ovCul,F,NA
H?ovCtl,F,NA
H?ovCu\,F,NA
H?ovCt\,F,NA
H?ovCs|,F,NA
H?ovCvJ,F,NA
H?ovCuj,F,NA
H?ovCtj,F,NA
H?ovCuZ,F,NA
H?ovCtZ,F,NA
H?ovCvF,F,NA
H?ovCuf,F,NA
H?ovCtf,F,NA
H?ovCuV,F,NA
H?ovCtV,F,NA
H?ovCsv,F,NA
H?ovCuN,F,NA
H?ovCtN,F,NA
H?ovCsn,F,NA
H?ovCs^,F,NA
H?ovCv{,F,NA
H?ovCvy,F,NA
H?ovCvu,F,NA
H?ovCvm,F,NA
H?ovCv],F,NA
H?ovCu},F,NA
H?ovCt},F,NA
H?ovCvx,F,NA
H?ovCvt,F,NA
H?ovCvl,F,NA
H?ovCv\,F,NA
H?ovCu|,F,NA
H?ovCt|,F,NA
H?ovCvr,F,NA
H?ovCvj,F,NA
H?ovCvZ,F,NA
H?ovCuz,F,NA
H?ovCtz,F,NA
H?ovCvf,F,NA
H?ovCvV,F,NA
H?ovCuv,F,NA
H?ovCtv,F,NA
H?ovCvN,F,NA
H?ovCun,F,NA
H?ovCtn,F,NA
H?ovCu^,F,NA
H?ovCt^,F,NA
H?ovCs~,F,NA
H?ovCv},F,NA
H?ovCv|,F,NA
H?ovCvz,F,NA
H?ovCvv,F,NA
H?ovCvn,F,NA
H?ovCv^,F,NA
H?ovCu~,F,NA
H?ovCt~,F,NA
H?ovCv~,F,NA
H?ov@vw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vs,F,NA
H?ov@vk,F,NA
H?ov@v[,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@u{,F,NA
H?ov@vq,T,"[2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0]"
H?ov@uy,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@ve,T,"[2.0, 2.0, 4.0, 2.0, 3.0, 2.0, 4.0, 4.0, 4.0]"
H?ov@vU,F,NA
H?ov@uu,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@um,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@u],T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@s},T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@vp,T,"[2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0]"
H?ov@vh,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vX,F,NA
H?ov@ux,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vd,T,"[2.0, 2.0, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0]"
H?ov@vT,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@ut,F,NA
H?ov@vL,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@ul,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@u\,F,NA
H?ov@s|,T,"[2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 4.0]"
H?ov@vJ,F,NA
H?ov@uj,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@uZ,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@sz,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@vF,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
H?ov@uf,F,NA
H?ov@uV,F,NA
H?ov@sv,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@uN,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@sn,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@s^,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@v{,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@vy,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vu,T,"[2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 4.0]"
H?ov@vm,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@v],T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@u},T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vx,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vt,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@vl,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@v\,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@u|,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@vr,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@vj,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@vZ,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@uz,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vf,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@vV,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
H?ov@uv,F,NA
H?ov@vN,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@un,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@u^,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@s~,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@v},T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@v|,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@vz,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@vv,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]"
H?ov@vn,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@v^,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@u~,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 4.0]"
H?ov@v~,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 5.0]"
H?ovENw,F,NA
H?ovENs,F,NA
H?ovENk,F,NA
H?ovEN[,F,NA
H?ovEM{,F,NA
H?ovENq,F,NA
H?ovENi,F,NA
H?ovENY,F,NA
H?ovENM,F,NA
H?ovENp,F,NA
H?ovENh,F,NA
H?ovENd,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
H?ovENT,F,NA
H?ovEMt,F,NA
H?ovENL,F,NA
H?ovEMl,F,NA
H?ovENF,F,NA
H?ovEMN,F,NA
H?ovEKn,F,NA
H?ovEK^,F,NA
H?ovEN{,F,NA
H?ovENy,F,NA
H?ovENu,F,NA
H?ovENm,F,NA
H?ovEN],F,NA
H?ovEM},F,NA
H?ovENx,F,NA
H?ovENt,F,NA
H?ovENl,F,NA
H?ovEN\,F,NA
H?ovEM|,F,NA
H?ovENr,F,NA
H?ovENj,F,NA
H?ovENZ,F,NA
H?ovEMz,F,NA
H?ovENf,F,NA
H?ovENV,F,NA
H?ovEMv,F,NA
H?ovENN,F,NA
H?ovEMn,F,NA
H?ovEM^,F,NA
H?ovEK~,F,NA
H?ovEN},F,NA
H?ovEN|,F,NA
H?ovENz,F,NA
H?ovENv,F,NA
H?ovENn,F,NA
H?ovEN^,F,NA
H?ovEM~,F,NA
H?ovEN~,F,NA
H?ovDNw,F,NA
H?ovDNs,F,NA
H?ovDNk,F,NA
H?ovDN[,F,NA
H?ovDM{,F,NA
H?ovDL{,F,NA
H?ovDNq,F,NA
H?ovDNi,F,NA
H?ovDMy,F,NA
H?ovDMu,F,NA
H?ovDMm,F,NA
H?ovDM],F,NA
H?ovDK},F,NA
H?ovDNh,F,NA
H?ovDNd,F,NA
H?ovDMt,F,NA
H?ovDLt,F,NA
H?ovDNL,F,NA
H?ovDMl,F,NA
H?ovDLl,F,NA
H?ovDNF,F,NA
H?ovDMf,F,NA
H?ovDLf,F,NA
H?ovDMN,F,NA
H?ovDLN,F,NA
H?ovDKn,F,NA
H?ovDK^,F,NA
